C1400|Hallmark Cards
H1100|American Medical Assn
LT300|Teamsters Local 886
H1100|Kansas Medical Assn
H1100|Indiana State Medical Assn
H1400|American Dental Assn
LB100|Painters & Allied Trades Union
B2000|National Assn of Home Builders
Z5200|Democratic Congressional Campaign Cmte
C4100|US Telecom Assn
LB100|Carpenters & Joiners Union
H1100|Michigan Medical Society
T9100|American Hotel & Lodging Assn
H1100|Texas Medical Assn
Z5100|Republican Party of Virginia
Z5100|Republican Party of Minnesota
H1100|Hawaii Medical Assn
A2000|Dairy Farmers of America
H1100|Alaska Medical Assn
LT000|United Transportation Union
G1300|Business Industry PAC
LT500|International Longshoremens Assn 1814
H1100|New Mexico Medical Assn
Z5200|Wyoming State Democratic Central Cmte
LC100|Communications Workers of America
A6000|National Council of Farmer Co-Ops
H2100|Federation of American Hospitals
LM100|Machinists/Aerospace Workers Union
Z1200|Committee to Reelect Tom Foley
Z1200|John D Dingell for Congress Cmte
LG100|United Food & Commercial Workers Union
M1000|Olin Corp
LM150|United Auto Workers
LM150|United Auto Workers
T3100|American Trucking Assns
H1100|Arkansas Medical Society
E1610|National Rural Electric Cooperative Assn
H1100|North Dakota Medical Assn
Z5100|Republican Party of Maine
H1100|North Carolina Medical Society
LB100|AFL-CIO Bldg/Construction Trades Dept
H1100|California Medical Assn
H1100|Utah Medical Assn
L1300|National Education Assn
H1100|Ohio Medical Assn
Z5100|Republican National Cmte
J1200|National Cmte for an Effective Congress
LM100|United Steelworkers
LB100|Bricklayers Union
G2900|National Restaurant Assn
L0000|AFL-CIO
G2200|National Confectioners Assn
LT500|Marine Engineers Retirees Group Fund
|6TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE OF
H1100|Iowa Medical Society
Z5200|Democratic Party of Nebraska
LG300|Service Employees International Union
B1000|National Utility Contractors Assn
F1100|American Bankers Assn
LT500|Seafarers International Union
LT300|Teamsters Local 745
C4100|National Telecommunications Cooperative Assn
Z5100|Republican Party of Kansas
F4600|Mortgage Bankers Assn
LG000|UNITE HERE
T4100|American Bus Assn
|ALABAMA MEDICAL PAC CONNECTED WITH THE MEDICAL ASS
|PENNSYLVANIA MEDICAL SOCIETY POLITICAL ACTION COMM
E1610|Mississippi ACRE
F3100|National Assn of Prof Insurance Agents
Z1100|Regula for Congress
H1100|South Dakota Medical Assn
LM100|Boilermakers Union
Z5200|State Democratic Exec Cmte of Alabama
F3300|National Assn of Insurance & Financial Advisors
Z5100|10th Dist Repub Congressional Cmte
H1100|Illinois State Medical Society
Z5200|Democratic Executive Cmte of Florida
H1400|American Assn/Oral & Maxillofacial Surg
H1400|California Dental Assn
Z5100|Republican Party of Wyoming
Z5100|Sixth District Republican Cmte
Z5100|Republican Party of Illinois
H2200|American Health Care Assn
Z5100|Indiana Republican State Cmte
C5110|Texas Instruments
E1140|American Gas Assn
LB100|Sheet Metal Workers Union
Z5200|Democratic Party of South Carolina
E1610|Speak Up for Rural Electrification
